Launch App..
Initiating main..
('Counting words in ', 's3://spark-emr-wc-bucket/spark-emr-wc-inp.txt')
brine,: 1
possessed: 1
punishment: 1
809: 1
contact: 3
greatest: 5
thing,: 1
mother: 2
hearts: 1
childhood,: 1
veils: 1
left: 11
addresses.: 1
ago;: 1
just: 1
sentence: 1
associated): 1
gods: 1
distribute: 5
assigned: 4
farther: 4
human: 3
feet.: 5
waves: 1
yet: 10
electronically: 1
previous: 1
bored:: 1
dining: 2
taxes.: 1
ease: 1
had: 122
tired.: 1
Hundreds: 1
defied: 2
rakes.: 1
belongs: 3
easy: 3
eyes,â€: 1
save: 44
flowing: 1
gave: 6
vice,: 1
ago,: 3
ago.: 3
seeds,: 1
â€œSeventeen,â€: 1
possible: 3
smiled.: 2
grey.: 1
boxes: 1
truth.: 6
god,: 2
sleep,: 4
shadow: 2
thirsty?â€: 1
apart: 1
blinding: 1
appearing: 1
rustle: 2
gift: 5
Unmentionable: 11
collection.: 1
50: 1
specific: 1
5,: 1
5.: 1
steps: 3
Are: 2
any): 1
hung: 1
bright.: 1
Now,: 1
bricks,: 1
right: 8
old: 7
lashes: 2
justice,: 1
watching.: 1
crown: 1
somehow: 1
dead: 1
lashed: 4
offer: 1
coldness.: 1
paragraphs: 3
meaning.: 1
bore: 1
meaning,: 1
hasten.: 1
Never,: 1
tonight,: 3
Life: 1
tonight.: 2
effort,: 1
for: 206
been?...â€: 1
purple: 1
foe: 1
month,: 1
Mankind: 1
beating: 3
He: 6
Later,: 1
core: 1
shakes: 1
burn: 2
production,: 1
brigades: 1
yoke: 1
losing: 2
permitted: 6
takes: 2
chapter: 1
limitation: 3
pleaded:: 1
frightened.: 1
theirs: 3
voice.: 2
despair: 1
done: 5
wires,: 3
wires.: 2
Still: 1
printed: 2
raised: 14
thinner: 1
statements: 1
lied: 1
puzzle: 1
obtaining: 2
bound: 2
intellectual: 2
son: 1
squares,: 1
lies: 5
PUNITIVE: 1
lieu: 2
City.â€: 1
honored: 2
frightened: 1
CONSEQUENTIAL,: 1
often: 2
perish.: 1
existed: 2
perish,: 1
Unless: 1
crowd: 1
TEN: 2
support: 3
forbidden.â€: 2
illustrious: 1
Mississippi: 1
sunlight: 1
fight: 2
why,: 1
fought: 5
way: 4
wax: 1
editions: 3
(c): 1
was: 93
halls: 3
happy: 1
head: 15
medium: 3
â€œWeâ€: 2
Students,: 2
form: 1
Students.: 4
what?: 1
lie.: 2
so,: 3
so.: 1
garments: 1
hear: 3
boon: 1
blindness: 1
what,: 1
hands,: 6
right.: 2
hands.: 7
acids,: 1
Golden: 45
hall,: 6
edition.: 1
City,: 7
born: 6
alone...: 2
attached: 1
maximum: 1
tell: 7
"Plain: 2
wait.: 1
discovery.: 1
flat: 3
brother?: 1
escape: 4
TWO: 2
â€œwe: 3
whatsoever.: 3
guessed: 1
die.: 1
â€œShould: 1
die,: 2
check: 3
physical: 2
solicitation: 1
holy: 1
Only: 6
no: 120
minds.: 3
when: 60
bed.: 2
bed,: 1
flood: 1
holding: 1
papers: 1
shrink: 1
stake,â€: 1
glowed.: 1
permitting: 1
Ones...: 1
brothers: 33
palms: 1
delivered: 1
felt: 15
glowed!: 1
fell: 12
currentâ€”the: 1
dark.: 1
dullest: 1
ours.: 5
[EBook: 1
ours,: 3
tested: 1
paper,: 1
paces: 1
paper.: 1
Mission: 1
together: 11
trembled: 3
beds: 5
sing,: 1
time: 13
push: 1
banners: 1
laws: 14
mountains.: 1
cowardice,: 1
mountains,: 2
concept: 2
pictures,: 1
Unanimity: 2
dance: 1
rod: 1
Such: 2
wishes,: 1
skin: 3
battle: 1
displaying: 2
hole: 1
halting,: 1
everything: 2
DAMAGE.: 1
ONE,: 1
witness.: 1
ONE.: 1
answered: 2
charge: 6
Councilâ€”by: 1
promoting: 2
marks: 2
forgiven!: 1
questions.: 1
suffered: 1
questions,: 1
slowly,: 5
furrows: 2
brown: 2
FULL: 2
Perhaps,: 2
â€œLeader,â€: 1
lead.: 1
choice: 2
â€œThen,â€: 1
soul,: 3
â€œOur: 8
defying: 1
anonymous: 2
Foundation.: 1
Volunteers: 1
Where: 1
convulsions: 1
child.: 1
Vocations,: 1
Rand: 4
clouds: 1
twenty-one: 2
bring: 6
did: 26
die: 2
brother: 11
leave: 5
solved: 1
scores: 2
compressed,: 1
name?â€: 2
prevent: 2
_WE_,: 1
says: 1
regret: 1
be: 117
cleanliness,: 1
else.: 2
Date:: 1
discover: 1
sign: 1
hedge,: 5
Ancients,: 1
cost: 2
dried: 1
fear: 10
tarried: 1
curse: 3
2-9913,: 1
stands: 2
Theatre: 2
assistance: 1
light?â€: 1
melt: 1
stomach.: 1
current: 1
Mandate,: 1
saw.: 1
flame,: 1
falling: 4
guilt.: 2
bearers: 1
Gutenberg:: 1
drink.: 2
processing: 1
Equality: 13
web.: 1
ours: 2
West,: 1
water: 12
knocked: 1
coils: 1
groups: 1
address: 1
alone: 14
Gutenberg": 4
along: 3
sieve: 1
My: 6
change: 1
wait: 1
box: 13
boy: 2
male: 1
manuscripts,: 2
thirty: 2
manuscripts.: 1
also.â€: 1
copper;: 1
Mandates: 1
guilty: 2
step: 4
Tomorrow: 1
women: 11
crumbled: 1
here.: 3
here,: 9
â€œCook,â€: 1
history: 3
beautiful,: 1
beautiful.: 1
stained: 1
brothers.â€: 1
READ: 1
mile,: 1
When: 11
marked: 3
betraying: 1
guilty,: 1
marble,: 2
swallowed: 2
slept.: 1
white.â€: 1
Darkness: 1
sharper: 1
perished: 1
angry: 1
visit: 1
tears: 1
house,â€: 1
live: 10
Royalty: 2
That: 2
memory: 3
sea-gulls: 1
volunteers,: 2
www.gutenberg.org/donate: 2
Cities: 4
froths: 1
today: 1
smeared: 1
wept: 1
flung: 1
towers: 1
wonders,: 1
three,: 1
stored,: 1
virtue: 1
Time: 1
blood.: 4
Language:: 1
blood,: 1
effort: 1
frightened,: 1
"Information: 1
Similarity: 1
defective: 2
displayed,: 1
PLEASE: 1
soul: 1
inside,: 2
Rebirth.: 3
can: 39
Rebirth,: 3
growing: 1
Our: 14
tune: 1
arrive: 1
laughter: 1
Children: 1
streak: 1
heart: 10
Leaders,: 1
want: 1
stream: 3
arise: 2
agent: 1
heard: 14
one--the: 1
heard.: 3
allowed: 1
stole: 3
pages,: 1
Terms: 2
dim: 1
watching: 2
sudden: 4
beyond.: 1
write: 6
till: 10
state's: 1
candle.: 2
candle,: 1
stones.: 1
Why: 1
License: 8
may: 29
sacrifice: 1
Foundation's: 3
final,: 1
produce: 1
hands...: 1
mankind: 1
date: 2
such: 25
hear.: 1
grow: 1
lids: 1
man: 11
branches: 4
neck: 2
speak.: 10
whenever: 3
candles: 7
infringement,: 1
wounds.: 1
("the: 1
so: 25
tall: 1
had.: 1
pulled: 4
keep.: 1
Hymn: 3
permission.: 1
pointed: 3
below.: 4
years: 23
fangs: 1
rings,: 1
one.â€: 1
weather,: 1
weather.: 1
still: 14
hedge: 3
tore: 1
machine: 1
limbs: 1
derive: 1
group: 3
forbidden,â€: 1
did,: 1
did.: 2
EXCEPT: 1
months.: 1
window: 2
offers: 1
suspicion: 1
Meeting.: 1
won,: 1
World: 14
us!â€: 1
troubled: 1
low,: 1
happened: 3
bird.: 1
non: 1
sacred: 1
unveiling: 1
fling: 1
Compliance: 1
9-3452,: 1
year,: 1
goddess,â€: 1
year.: 2
She: 1
re-crossing: 1
not: 231
now: 6
provision: 1
hall: 5
nor: 34
possess: 1
down: 9
Title:: 1
1.E.1.: 2
name: 14
streaks: 2
Their: 7
servant: 1
drop: 2
form.: 2
bandage: 1
form,: 1
copied: 2
soon,: 1
birthday,: 1
rock: 5
veins: 2
rain.: 1
domain: 2
square: 3
granite;: 1
trademark.: 3
decreed: 1
Except: 2
ships,: 1
fires: 4
ships.: 1
distributing,: 1
befell: 1
year: 3
rains.: 1
small,: 3
granite,: 1
living: 2
shown: 1
opened: 2
space: 1
profit: 1
tall.: 2
abide: 1
looking: 9
contained: 1
EIGHT: 2
tall,: 2
thin,: 1
receiving: 1
us,: 60
whispered,: 3
s/he: 1
GUTENBERG-tm: 1
Stone: 1
END: 1
monster: 1
spark,: 1
fire,: 1
forâ€”may: 1
fire.: 2
destroyed.â€: 1
waits.: 2
stage,: 2
checks,: 1
card: 1
care: 6
square,: 2
fields,: 1
language: 1
Times?: 1
iron;: 1
â€œEquality: 3
â€œFear: 1
AGREEMENT: 1
owe: 1
Scholar.â€: 1
turn: 6
Times,: 2
invalidity: 1
Times.: 6
7-3304,: 1
promotion: 1
think: 26
waited: 1
first: 23
flying: 2
mercy.: 1
striking: 1
spoken: 1
twice: 2
There: 35
streets.: 3
yourself: 1
humble.: 1
directly: 1
either.: 1
carry: 5
array: 1
drove: 1
open: 5
tomorrow: 1
eye.: 1
given: 6
necessarily: 1
silent: 3
efforts: 2
trembled:: 1
anyone: 4
indicate: 1
returns: 1
legally: 1
white: 21
fireflies,: 1
friend: 2
gives: 3
larder: 1
towers,: 1
eyes: 34
on.: 3
sound,: 1
on,: 7
sound.: 1
spoke.: 1
streaked: 1
gently,: 1
universe: 1
snarling: 1
1.E.8: 2
slashed: 1
1.E.7: 2
copy: 9
holder: 1
than: 39
Replacement: 1
give,: 1
wide: 3
accordance: 2
crack: 1
require: 1
David: 2
coals,: 1
return.: 1
ELEVEN: 2
IRS.: 1
protected: 7
â€œHave: 1
were: 130
proofread: 1
earth.: 13
damned: 2
earth,: 8
1.: 1
winter.: 1
word....: 1
winter,: 1
illness: 1
tasted: 1
froth: 1
look: 23
word:: 2
turned: 12
locations: 1
jewels: 1
(and: 1
winding: 1
(any: 1
buried: 1
climbed: 2
coming,: 1
breakfast: 1
recover: 1
saw: 36
any: 50
men.â€: 3
sat: 8
law,: 2
Do: 4
law.: 2
hooded: 1
locations.: 1
transcription: 1
touch;: 1
answering: 1
ideas: 1
needs.: 1
equipment: 1
wretch: 2
take: 10
online: 4
destroy: 3
refund.: 2
collapsed: 1
begin: 1
pain: 6
morning,: 1
voice;: 1
track: 1
5-3000...: 1
knew: 37
clearer: 1
paid: 8
being,: 2
donation: 1
jewel.: 1
20%: 1
"Project: 5
being.: 3
pages: 4
forever: 1
City.: 7
especially: 1
strength.: 1
foot: 1
proud: 2
spangles.: 1
hungry: 1
science,: 1
alone!: 1
ways: 4
slaves: 1
